data,time,CPU (Tctl/Tdie) [°C],Core Clocks (avg) [MHz],CPU Package Power [W],GPU Hot Spot Temperature [°C],GPU Temperature [°C],GPU Shader Clock [MHz],GPU Fan [RPM],scenario,source_file,label
9.7.2026,30:29.5,55.6,5132.4,46.84,57.0,49.0,2747.0,603.0,CPU Heavy,CPU Multicore_04,good
9.7.2026,30:31.5,58.4,5132.4,52.209,57.0,49.0,2748.0,605.0,CPU Heavy,CPU Multicore_04,good
9.7.2026,30:33.5,65.8,5067.3,60.173,57.0,49.0,2748.0,606.0,CPU Heavy,CPU Multicore_04,good
9.7.2026,30:35.5,81.8,5020.1,78.545,57.0,49.0,2747.0,608.0,CPU Heavy,CPU Multicore_04,good
9.7.2026,30:37.5,84.0,5086.7,77.02,57.0,49.0,2748.0,607.0,CPU Heavy,CPU Multicore_04,good
9.7.2026,30:39.5,89.5,5040.9,101.771,57.0,49.0,2747.0,606.0,CPU Heavy,CPU Multicore_04,good
9.7.2026,30:41.5,94.2,4995.2,118.549,57.0,49.0,2748.0,608.0,CPU Heavy,CPU Multicore_04,warning
9.7.2026,30:43.5,95.1,5028.4,117.706,57.0,49.0,2747.0,611.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,30:45.5,94.6,5032.6,116.852,56.0,48.0,2747.0,608.0,CPU Heavy,CPU Multicore_04,warning
9.7.2026,30:47.5,95.1,4974.4,117.152,56.0,48.0,2747.0,604.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,30:49.5,95.1,4953.6,116.46,56.0,48.0,2747.0,606.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,30:51.5,95.0,5003.5,116.93,56.0,48.0,2748.0,606.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,30:53.5,95.2,5040.9,117.577,56.0,48.0,2747.0,609.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,30:55.5,95.1,4999.3,117.013,56.0,48.0,2748.0,609.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,30:57.5,95.4,5007.6,117.504,56.0,48.0,2748.0,605.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,30:59.5,95.4,4991.0,116.943,56.0,48.0,2746.0,607.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,31:01.5,95.5,4999.3,116.156,56.0,48.0,2747.0,607.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,31:03.5,95.1,4995.2,114.904,56.0,48.0,2747.0,610.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,31:05.5,94.8,4982.7,115.018,56.0,48.0,2746.0,605.0,CPU Heavy,CPU Multicore_04,warning
9.7.2026,31:07.5,95.1,4957.7,115.23,56.0,48.0,2748.0,606.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,31:09.5,95.0,5049.2,113.751,56.0,48.0,2748.0,607.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,31:11.5,95.1,5024.3,114.812,56.0,47.0,2748.0,609.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,31:13.5,95.1,5036.8,115.032,56.0,48.0,2748.0,609.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,31:15.5,95.4,5003.5,115.454,56.0,48.0,2747.0,608.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,31:17.5,95.5,4999.3,115.964,55.0,47.0,2747.0,605.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,31:19.5,96.1,4991.0,117.466,55.0,47.0,2748.0,608.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,31:21.5,96.0,4995.2,116.241,55.0,48.0,2748.0,607.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,31:23.5,96.1,4991.0,116.958,55.0,47.0,2747.0,609.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,31:25.5,96.1,4974.4,116.353,55.0,47.0,2748.0,605.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,31:27.5,96.2,4966.0,116.84,55.0,47.0,2748.0,605.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,31:29.5,96.4,4945.2,116.754,55.0,47.0,2747.0,607.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,31:31.5,96.5,4974.4,116.727,55.0,47.0,2747.0,605.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,31:33.5,96.5,4991.0,116.766,55.0,47.0,2746.0,608.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,31:35.5,96.5,4995.2,116.901,55.0,47.0,2747.0,604.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,31:37.5,96.6,5020.1,116.916,55.0,47.0,2748.0,608.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,31:39.5,96.6,4953.6,116.992,55.0,47.0,2748.0,604.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,31:41.5,96.5,4991.0,116.49,55.0,47.0,2747.0,610.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,31:43.5,96.4,5016.0,116.417,55.0,47.0,2747.0,607.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,31:45.5,96.5,5007.6,116.542,55.0,47.0,2748.0,610.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,31:47.5,96.5,4920.3,116.701,55.0,47.0,2748.0,609.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,31:49.5,96.5,4999.3,116.773,55.0,47.0,2747.0,607.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,31:51.5,96.5,4991.0,116.196,55.0,47.0,2748.0,605.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,31:53.5,96.5,4966.0,116.789,55.0,47.0,2747.0,607.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,31:55.5,96.5,4953.6,115.822,55.0,47.0,2748.0,606.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,31:57.5,96.6,4957.7,116.79,55.0,47.0,2747.0,607.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,31:59.5,96.6,4953.6,117.293,54.0,47.0,2748.0,603.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,32:01.5,96.5,5016.0,116.35,54.0,47.0,2747.0,607.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,32:03.5,96.6,4974.4,116.923,54.0,47.0,2747.0,606.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,32:05.5,96.5,4957.7,115.794,54.0,47.0,2748.0,605.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,32:07.5,96.5,4982.7,116.331,54.0,46.0,2746.0,607.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,32:09.5,96.5,4961.9,115.946,54.0,46.0,2747.0,608.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,32:11.5,96.5,5016.0,116.682,54.0,46.0,2745.0,607.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,32:13.5,96.4,4957.7,116.621,54.0,46.0,2747.0,607.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,32:15.5,96.2,4924.5,116.8,54.0,46.0,2746.0,606.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,32:17.5,96.2,4928.6,116.331,54.0,46.0,2745.0,607.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,32:19.5,96.1,4936.9,116.175,54.0,46.0,2749.0,603.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,32:21.5,95.5,5040.9,113.355,54.0,46.0,2748.0,603.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,32:23.5,95.2,4957.7,113.676,54.0,46.0,2747.0,607.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,32:25.5,95.4,4949.4,115.873,54.0,46.0,2747.0,611.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,32:27.5,95.2,4966.0,114.75,54.0,46.0,2747.0,608.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,32:29.5,95.0,4961.9,112.811,54.0,46.0,2747.0,604.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,32:31.5,95.2,4978.5,114.778,54.0,46.0,2747.0,609.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,32:33.5,95.4,4932.8,115.584,54.0,46.0,2747.0,608.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,32:35.5,95.6,4982.7,115.234,54.0,46.0,2747.0,609.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,32:37.5,95.8,5016.0,115.133,54.0,46.0,2746.0,610.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,32:39.5,96.2,4949.4,117.798,54.0,46.0,2747.0,607.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,32:41.5,96.1,5007.6,114.853,54.0,46.0,2747.0,606.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,32:43.5,96.0,4995.2,115.804,53.0,46.0,2747.0,608.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,32:45.5,96.1,4982.7,116.439,53.0,46.0,2747.0,603.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,32:47.5,96.0,4999.3,115.427,53.0,46.0,2748.0,605.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,32:49.5,96.1,4941.1,116.24,53.0,46.0,2748.0,607.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,32:51.5,96.1,4957.7,115.567,53.0,46.0,2748.0,608.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,32:53.5,96.2,4986.8,116.018,53.0,46.0,2748.0,604.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,32:55.5,96.4,5011.8,116.549,53.0,46.0,2748.0,607.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,32:57.5,96.1,4978.5,115.694,53.0,46.0,2748.0,607.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,32:59.5,96.0,4961.9,115.684,53.0,46.0,2748.0,608.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,33:01.5,96.0,5011.8,115.894,53.0,46.0,2748.0,609.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,33:03.6,95.9,4978.5,115.251,53.0,46.0,2748.0,608.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,33:05.5,96.5,4953.6,116.933,53.0,46.0,2748.0,604.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,33:07.5,96.5,5016.0,116.726,53.0,46.0,2748.0,604.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,33:09.5,96.4,5028.4,115.299,53.0,46.0,2748.0,606.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,33:11.5,96.4,4986.8,115.421,53.0,45.0,2747.0,609.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,33:13.5,96.2,4966.0,115.694,53.0,45.0,2748.0,608.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,33:15.5,96.2,4949.4,115.183,53.0,45.0,2747.0,607.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,33:17.5,96.4,4936.9,115.161,53.0,45.0,2747.0,607.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,33:19.5,96.8,4982.7,117.144,53.0,45.0,2748.0,610.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,33:21.5,96.5,4932.8,115.778,53.0,45.0,2747.0,609.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,33:23.5,96.4,5003.5,115.739,53.0,45.0,2747.0,608.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,33:25.5,96.2,5016.0,115.455,53.0,45.0,2747.0,607.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,33:27.5,96.2,4953.6,115.312,53.0,45.0,2747.0,605.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,33:29.5,96.4,4945.2,115.646,53.0,45.0,2747.0,607.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,33:31.5,96.4,4953.6,116.073,53.0,45.0,2746.0,608.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,33:33.5,96.6,5016.0,117.085,53.0,45.0,2747.0,604.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,33:35.5,96.6,5003.5,117.135,53.0,45.0,2747.0,608.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,33:37.5,96.6,4982.7,116.992,53.0,45.0,2747.0,605.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,33:39.5,96.6,4978.5,116.79,53.0,45.0,2746.0,607.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,33:41.5,96.6,4974.4,116.768,53.0,45.0,2747.0,607.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,33:43.6,96.6,4907.8,116.607,53.0,45.0,2748.0,606.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,33:45.6,96.5,4961.9,116.28,53.0,45.0,2748.0,606.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,33:47.6,96.6,5003.5,116.227,53.0,45.0,2748.0,605.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,33:49.6,96.6,4957.7,116.708,53.0,45.0,2747.0,605.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,33:51.6,96.5,4995.2,116.523,52.0,45.0,2747.0,605.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,33:53.6,96.5,4995.2,116.533,52.0,45.0,2747.0,607.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,33:55.6,96.8,4932.8,117.579,52.0,45.0,2748.0,608.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,33:57.6,96.5,5016.0,116.136,52.0,45.0,2747.0,606.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,33:59.6,96.5,4982.7,116.986,52.0,45.0,2748.0,609.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,34:01.6,96.4,4953.6,116.56,52.0,45.0,2747.0,605.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,34:03.6,96.4,4970.2,115.824,52.0,45.0,2746.0,603.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,34:05.6,96.4,4957.7,116.071,52.0,45.0,2747.0,606.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,34:07.6,96.4,4957.7,116.474,52.0,45.0,2747.0,608.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,34:09.6,96.2,4974.4,116.933,52.0,45.0,2746.0,608.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,34:11.6,96.2,5016.0,116.662,52.0,45.0,2748.0,608.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,34:13.6,96.4,4966.0,117.042,52.0,45.0,2747.0,607.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,34:15.6,96.2,4974.4,116.187,52.0,45.0,2747.0,608.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,34:17.6,96.2,5003.5,116.604,52.0,45.0,2746.0,607.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,34:19.6,96.2,4945.2,116.489,52.0,45.0,2747.0,604.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,34:21.6,96.1,5016.0,116.094,52.0,45.0,2747.0,606.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,34:23.6,96.0,5003.5,116.438,52.0,45.0,2747.0,603.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,34:25.6,96.1,4991.0,115.944,52.0,45.0,2746.0,605.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,34:27.6,96.2,5003.5,116.567,52.0,44.0,2747.0,606.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,34:29.6,96.2,4957.7,116.269,52.0,44.0,2746.0,608.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,34:31.6,95.9,4949.4,115.229,52.0,44.0,2747.0,609.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,34:33.6,96.0,4966.0,115.715,52.0,45.0,2747.0,605.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,34:35.6,96.1,4991.0,115.762,52.0,45.0,2747.0,610.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,34:37.6,96.1,5003.5,116.17,52.0,45.0,2748.0,604.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,34:39.6,95.6,4957.7,115.923,52.0,44.0,2747.0,606.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,34:41.6,95.5,4995.2,115.668,52.0,44.0,2747.0,604.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,34:43.6,95.6,4991.0,114.615,52.0,44.0,2747.0,605.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,34:45.6,95.8,4949.4,114.257,52.0,44.0,2747.0,607.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,34:47.6,96.4,5020.1,117.288,52.0,44.0,2747.0,604.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,34:49.6,96.0,4991.0,115.955,52.0,44.0,2747.0,608.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,34:51.6,95.9,5016.0,116.01,52.0,44.0,2748.0,606.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,34:53.6,95.9,4974.4,114.993,52.0,44.0,2748.0,605.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,34:55.6,96.4,5003.5,117.162,52.0,44.0,2747.0,607.0,CPU Heavy,CPU Multicore_04,bad
